feature,f_score
F1,108.94247941996338
F7,74.9406888238793
spectral_skewness,71.96082595518129
F3,40.88829298013198
total_sum,29.49579298205226
Clear,28.803406949228368
F5_to_F7_ratio,12.186178724508517
short_long_sum_ratio,5.265159261054423
F3_to_F5_ratio,2.3078936991638757
long_fraction,1.8686624883552443
mid_fraction,1.7033161225894509
spectral_centroid,1.6943928569887077
short_fraction,0.8637532189325372
F1_to_F7_ratio,0.7466440978885547
F5,0.6631656018000689
center_edges_sum_ratio,0.06126436834309407
spectral_width,0.027040577651573198
