timestamp,session_id,raw_Clear,raw_F1,raw_F2,raw_F3,raw_F4,raw_F5,raw_F6,raw_F7,raw_F8,raw_NIR,processed_Clear,processed_F1,processed_F2,processed_F3,processed_F4,processed_F5,processed_F6,processed_F7,processed_F8,processed_NIR,ratio_green_red,ratio_normalized_violet,ratio_violet_green,ratio_violet_red
1751217457.3375583,,7,1,0,1,0,2,2,1,2,0,7,1,0,1,0,2,2,1,2,0,0.0,0.14285714285714285,1.0,0.5
1751217458.3379223,,6,2,2,2,2,1,1,0,1,0,6,2,2,2,2,1,1,0,1,0,2.0,0.3333333333333333,1.0,2.0
1751217459.3380504,,6,1,0,0,0,1,1,0,1,0,6,1,0,0,0,1,1,0,1,0,0.0,0.16666666666666666,1.0,1.0
1751217460.3376448,,8,3,1,3,2,4,3,2,3,0,8,3,1,3,2,4,3,2,3,0,0.6666666666666666,0.375,1.5,1.0
1751217461.3380682,,6,3,3,3,2,1,1,0,1,0,6,3,3,3,2,1,1,0,1,0,2.0,0.5,1.5,3.0
1751217462.337635,,6,2,2,2,2,1,2,1,1,0,6,2,2,2,2,1,2,1,1,0,2.0,0.3333333333333333,1.0,2.0
1751217463.3378427,,7,2,2,2,2,2,2,1,1,0,7,2,2,2,2,2,2,1,1,0,2.0,0.2857142857142857,1.0,2.0
1751217464.3378856,,6,2,1,2,2,1,1,0,1,0,6,2,1,2,2,1,1,0,1,0,2.0,0.3333333333333333,1.0,2.0
1751217465.3377385,,7,2,2,2,2,3,2,2,3,0,7,2,2,2,2,3,2,2,3,0,0.6666666666666666,0.2857142857142857,1.0,0.6666666666666666
1751217466.3379667,,6,2,2,2,2,0,1,0,0,0,6,2,2,2,2,0,1,0,0,0,2.0,0.3333333333333333,1.0,2.0
1751217467.3376052,,6,2,2,2,2,1,1,0,1,0,6,2,2,2,2,1,1,0,1,0,2.0,0.3333333333333333,1.0,2.0
1751217468.3379674,,6,3,2,2,2,1,1,0,1,0,6,3,2,2,2,1,1,0,1,0,2.0,0.5,1.5,3.0
1751217469.3378277,,6,2,2,2,2,1,1,0,1,0,6,2,2,2,2,1,1,0,1,0,2.0,0.3333333333333333,1.0,2.0
1751217470.3377964,,5,2,2,3,1,1,1,0,1,0,5,2,2,3,1,1,1,0,1,0,1.0,0.4,2.0,2.0
1751217471.3381104,,3,2,2,2,2,2,2,2,2,0,3,2,2,2,2,2,2,2,2,0,1.0,0.6666666666666666,1.0,1.0
1751217472.3378346,,2,2,2,2,2,1,0,0,1,0,2,2,2,2,2,1,0,0,1,0,2.0,1.0,1.0,2.0
1751217473.3378763,,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,2.0,1.0,1.0,2.0
1751217474.3380609,,1,2,1,2,2,1,0,0,0,0,1,2,1,2,2,1,0,0,0,0,2.0,2.0,1.0,2.0
1751217475.3377805,,2,2,1,2,2,0,0,0,0,0,2,2,1,2,2,0,0,0,0,0,2.0,1.0,1.0,2.0
1751217476.3379242,,5,2,2,2,2,1,1,0,1,0,5,2,2,2,2,1,1,0,1,0,2.0,0.4,1.0,2.0
1751217477.3376763,,5,1,0,0,0,1,1,0,1,0,5,1,0,0,0,1,1,0,1,0,0.0,0.2,1.0,1.0
1751217478.337833,,9,3,3,2,2,3,4,2,3,0,9,3,3,2,2,3,4,2,3,0,0.6666666666666666,0.3333333333333333,1.5,1.0
1751217479.3375595,,7,2,2,2,2,3,3,2,3,0,7,2,2,2,2,3,3,2,3,0,0.6666666666666666,0.2857142857142857,1.0,0.6666666666666666
1751217480.33792,,5,3,2,2,2,0,0,0,1,0,5,3,2,2,2,0,0,0,1,0,2.0,0.6,1.5,3.0
1751217481.3379605,,5,3,3,3,3,0,1,0,0,0,5,3,3,3,3,0,1,0,0,0,3.0,0.6,1.0,3.0
1751217482.3376827,,5,2,1,2,2,0,1,0,0,0,5,2,1,2,2,0,1,0,0,0,2.0,0.4,1.0,2.0
1751217483.3375795,,6,2,1,2,2,1,2,1,1,0,6,2,1,2,2,1,2,1,1,0,2.0,0.3333333333333333,1.0,2.0
1751217484.3375685,,8,3,2,2,2,3,4,2,3,0,8,3,2,2,2,3,4,2,3,0,0.6666666666666666,0.375,1.5,1.0
1751217485.3380258,,7,3,2,2,2,1,1,0,1,0,7,3,2,2,2,1,1,0,1,0,2.0,0.42857142857142855,1.5,3.0
1751217486.3380468,,6,3,2,2,2,1,1,0,1,0,6,3,2,2,2,1,1,0,1,0,2.0,0.5,1.5,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,
